ambil air,ma ar
mama belajar shalat,nina na balajar sumbiyang
mama mengambil air ,nina na ar
mama mengambil baju,nina na ladan
mama mengambil barang,nina na mana sa
mama mengambil batu,nina na watu
mama mengambil buah,nina na woi
mama mengambil buku,nina na buk
mama mengambil cangkir,nina na moak 
mama mengambil celana,nina na kada 
mama mengambil daun,nina na kairu
mama mengambil garam,nina na sira 
mama mengambil garpu,nina na forok
mama mengambil gelas,nina na galas
mama mengambil gitar,nina na juk
mama mengambil handuk,nina na handuk
mama mengambil helm,nina na helem
mama mengambil kayu,nina na kai
mama mengambil kertas,nina na kartas
mama mengambil kiriman ,nina na fingkatu
mama mengambil kue,nina na kukis
mama mengambil linggis,nina na suan 
mama mengambil mangkuk,nina na basi kua
mama mengambil obat ,nina na mofun
mama mengambil pakaian ,nina na ladan
mama mengambil paku,nina na paku
mama mengambil palu,nina na resan
mama mengambil panci,nina na panci
mama mengambil parang,nina na peda
mama mengambil pena,nina na kalam
mama mengambil piring ,nina na bingan
mama mengambil pisau,nina na turit
mama mengambil sekop,nina na skop
mama mengambil sendal,nina na sandal
mama mengambil sendok,nina na sisiru
mama mengambil sepatu ,nina na sapatu
mama mengambil sisir,nina na sisir
mama mengambil surat,nina na surat
mama mengambil tas,nina na tas
mama mengambil tisu,nina na tisu
mama mengambil wajan,nina na kalin
mereka belajar aljabar,si da balajar aljabar
mereka belajar bahasa,si da balajar minak 
mereka belajar beradaptasi,si da balajar nai bisa ku mian nai tompat woun
mereka belajar berbagi,si da balajar ku figuan
mereka belajar berempati,si da balajar nai ku fituin mancian woun
mereka belajar berenang,si da balajar ngangu
mereka belajar berjalan,si da balajar ku tagi
mereka belajar berkerja,si da balajar karja
mereka belajar berkomunikasi,si da balajar sinabi ra 
mereka belajar berlari,si da balajar ku falaru
mereka belajar bermain ,si da balajar lenga
mereka belajar berpikir,si da balajar ku fikir
mereka belajar bersabar,si da balajar sabar a
mereka belajar bersyukur,si da balajar syukur 
mereka belajar biologi,si da balajar ilmu alam
mereka belajar catur ,si da balajar catur
mereka belajar displin,si da balajar ku lenga tu waktu ra tei
mereka belajar fisika,si da balajar fisika
mereka belajar komputer,si da balajar komputer 
mereka belajar mancing,si da belajar subelat
mereka belajar matematika ,si da balajar berhitung 
mereka belajar memaafkan,si da balajar ta gafin
mereka belajar memanah,si da balajar fana-fanak a
mereka belajar memasak,si da balajar firakan
mereka belajar membaca,si da balajar baca
mereka belajar menari,si da balajar sula
mereka belajar mengaji,si da balajar sibur
mereka belajar menggambar,si da balajar garis-garis 
mereka belajar menghitung,si da balajar firekin
mereka belajar menjahit,si da balajar firait
mereka belajar menulis,si da balajar tulis
mereka belajar menyanyi,si da balajar manyanyi
mereka belajar olahraga ,si da balajar olahraga 
mereka belajar shalat,si da balajar sumbiyang
mereka belum bangun,si bot da wotu tei
mereka belum belajar,si bot da balajar tei
mereka belum berhasil,si bot da na roka mana gafin tei
mereka belum makan,si bot da ka tei
mereka belum mandi,si bot da sou tei
mereka belum melihatmu,si bot da kilangar kau tei
mereka belum melihatnya,si bot da kilangar i tei
mereka belum memulai,si bot da mulai tei
mereka belum mencintaimu,si bot da fituin kau tei
mereka belum mencintainya,si bot da fituin i tei
mereka belum mendengarnya,si bot da rongar i tei
mereka belum menemukanmu,si bot da roka kau tei
mereka belum menemukannya,si bot da roka i tei
mereka belum menerimamu,si bot da tarima kau tei
mereka belum menerimanya,si bot da tarima i tei
mereka belum mengajar,si bot da fakuturu tei
mereka belum menikah,si bot da fisa tei
mereka belum menyerah,si bot da na suka tei
mereka belum menyesal,si bot da laminora masingat tei
mereka belum merindukanmu,si bot da marasai kau tei
mereka belum merindukannya,si bot da marasai i tei
mereka belum minum,si bot da kinu tei
mereka belum rela,si bot da iklas tei
mereka belum tahu,si bot da ruk tei
mereka belum terima,si bot da tarima tei
mereka belum tidur,si bot da kifit tei
mereka gemar belajar,si da suka balajar
mereka gemar berenang,si da suka ngangu
mereka gemar bermain,si da suka lenga
mereka gemar makan,si da suka fanga
mereka gemar mandi,si da suka sou
mereka gemar menyanyi,si da suka manyanyi
mereka gemar minum,si da suka minu
mereka gemar pergi,si da suka tagi
mereka ingin belajar,si da mau balajar
mereka ingin berlari,si da mau falaru
mereka ingin berteriak,si da mau gurait
mereka ingin cinta,si da mau fituin
mereka ingin hidup,si da mau na liu
mereka ingin kecewa,si da mau laminoa na geit
mereka ingin lari,si da mau falaru
mereka ingin makan,si da mau fanga
mereka ingin mandi,si da mau sou
mereka ingin marah,si da mau sia
mereka ingin mati,si da mau mata
mereka ingin melihat,si da mau kilangar
mereka ingin membaca,si da mau baca
mereka ingin menangis,si da mau tangis
mereka ingin mendengar,si da mau rongar
mereka ingin mengajar,si da mau fakturu
mereka ingin menulis,si da mau tulis
mereka ingin minum,si da mau minu
mereka ingin muntah,si da mau luak
mereka ingin rindu,si da mau marasai
mereka ingin sakit,si da mau masingat
mereka ingin sedih,si da mau masgul
mereka ingin tidur,si da mau kifit
mereka makan anggur,si da ka fanga anggur
mereka makan apel,si da ka fanga apel
mereka makan ayam,si da ka fanga manuk
mereka makan babi,si da ka fanga boi
mereka makan buah,si da ka fanga woi
mereka makan buaya,si da ka fanga wai
mereka makan daging,si da ka fanga daging
mereka makan dodol,si da ka fanga dodol
mereka makan domba,si da ka fanga domba 
mereka makan gurita,si da ka fanga kurit
mereka makan ikan,si da ka fanga ikan
mereka makan kacang,si da ka fanga kacang
mereka makan kambing,si da ka fanga bibi
mereka makan kedondong,si da ka fanga kadondong
mereka makan kelapa,si da ka fanga niu
mereka makan kue,si da ka fanga kukis
mereka makan mangga,si da ka fanga ayai
mereka makan manggis,si da ka fanga manggustan
mereka makan nanas,si da ka fanga kainasi
mereka makan nasi ,si da ka fanga fasa
mereka makan papeda,si da ka fanga baititik 
mereka makan pisang,si da ka fanga fudi
mereka makan roti,si da ka fanga barot
mereka makan sagu,si da ka fanga suat
mereka makan sapi,si da ka fanga sapi
mereka makan sayur,si da ka fanga utan
mereka makan semangka,si da ka fanga tumin
mereka makan singkong,si da ka fanga bangala
mereka makan sinole,si da ka fanga sinole
mereka makan ubi,si da ka fanga ui
mereka makan ular,si da ka fanga tekis
mereka mengambil air ,si da ar
mereka mengambil baju,si da ladan
mereka mengambil barang,si da mana sa
mereka mengambil batu,si da woi
mereka mengambil buah,si da woi
mereka mengambil buku,si da buk
mereka mengambil cangkir,si da moak
mereka mengambil celana,si da kada
mereka mengambil daun,si da kairu
mereka mengambil garam,si da sira
mereka mengambil garpu,si da forok
mereka mengambil gelas,si da galas
mereka mengambil gitar,si da juk
mereka mengambil handuk,si da handuk
mereka mengambil helm,si da helen
mereka mengambil kayu,si da kai 
mereka mengambil kertas,si da kartas
mereka mengambil kiriman ,si da fingkatu
mereka mengambil kue,si da kukis
mereka mengambil linggis,si da suan
mereka mengambil mangkuk,si da basi kua
mereka mengambil obat ,si da mofun
mereka mengambil pakaian ,si da ladan
mereka mengambil paku,si da paku
mereka mengambil palu,si da resan
mereka mengambil panci,si da panci
mereka mengambil parang,si da peda
mereka mengambil pena,si da kaam
mereka mengambil piring ,si da suan
mereka mengambil pisau,si da turit
mereka mengambil sekop,si da skop
mereka mengambil sendal,si da sandal
mereka mengambil sendok,si da forok
mereka mengambil sepatu ,si da sapatu
mereka mengambil sisir,si da sisir
mereka mengambil surat,si da surat
mereka mengambil tas,si da tas
mereka mengambil tisu,si da tisu
mereka mengambil wajan,si da kaling
nenek gemar belajar,tata wawina na suka balajar
nenek gemar berenang,tata wawina na suka ngangu
nenek gemar bermain,tata wawina na suka lenga
nenek gemar makan,tata wawina na suka fanga
nenek gemar mandi,tata wawina na suka sou
nenek gemar menyanyi,tata wawina na suka manyanyi
nenek gemar minum,tata wawina na suka minu
nenek gemar pergi,tata wawina na suka tagi
nenek makan anggur,tata wawina na ka fanga anggur
nenek makan apel,tata wawina na ka fanga apel
nenek makan ayam,tata wawina na ka fanga manuk
nenek makan babi,tata wawina na ka fanga boi
nenek makan buah,tata wawina na ka fanga woi
nenek makan buaya,tata wawina na ka fanga wai
nenek makan daging,tata wawina na ka fanga daging
nenek makan dodol,tata wawina na ka fanga dodol
nenek makan domba,tata wawina na ka fanga domba 
nenek makan gurita,tata wawina na ka fanga kurit
nenek makan ikan,tata wawina na ka fanga ikan
nenek makan kacang,tata wawina na ka fanga kacang
nenek makan kambing,tata wawina na ka fanga bibi
nenek makan kedondong,tata wawina na ka fanga kadondong
nenek makan kelapa,tata wawina na ka fanga niu
nenek makan kue,tata wawina na ka fanga kukis
nenek makan mangga,tata wawina na ka fanga ayai
nenek makan manggis,tata wawina na ka fanga manggustan
nenek makan nanas,tata wawina na ka fanga kainasi
nenek makan nasi ,tata wawina na ka fanga fasa
nenek makan papeda,tata wawina na ka fanga baititik 
nenek makan pisang,tata wawina na ka fanga fudi
nenek makan roti,tata wawina na ka fanga barot
nenek makan sagu,tata wawina na ka fanga suat
nenek makan sapi,tata wawina na ka fanga sapi
nenek makan sayur,tata wawina na ka fanga utan
nenek makan semangka,tata wawina na ka fanga tumin
nenek makan singkong,tata wawina na ka fanga bangala
nenek makan sinole,tata wawina na ka fanga sinole
nenek makan ubi,tata wawina na ka fanga ui
nenek makan ular,tata wawina na ka fanga tekis
nenek mengambil air ,tata urana na ar
nenek mengambil baju,tata urana na ladan
nenek mengambil barang,tata wawina na mana sa
nenek mengambil batu,tata urana na watu
nenek mengambil buah,tata urana na woi
nenek mengambil buku,tata urana na buk
nenek mengambil cangkir,tata urana na moak 
nenek mengambil celana,tata urana na kada 
nenek mengambil daun,tata urana na kairu
nenek mengambil garam,tata urana na sira 
nenek mengambil garpu,tata urana na forok
nenek mengambil gelas,tata urana na galas
nenek mengambil gitar,tata urana na juk
nenek mengambil handuk,tata urana na handuk
nenek mengambil helm,tata urana na helem
nenek mengambil kayu,tata urana na kai
nenek mengambil kertas,tata urana na kartas
nenek mengambil kiriman ,tata urana na fingkatu
nenek mengambil kue,tata urana na kukis
nenek mengambil linggis,tata urana na suan 
nenek mengambil mangkuk,tata urana na basi kua
nenek mengambil obat ,tata urana na mofun
nenek mengambil pakaian ,tata urana na ladan
nenek mengambil paku,tata urana na paku
nenek mengambil palu,tata urana na resan
nenek mengambil panci,tata urana na panci
nenek mengambil parang,tata urana na peda
nenek mengambil pena,tata urana na kalam
nenek mengambil piring ,tata urana na bingan
nenek mengambil pisau,tata urana na turit
nenek mengambil sekop,tata urana na skop
nenek mengambil sendal,tata urana na sandal
nenek mengambil sendok,tata urana na sisiru
nenek mengambil sepatu ,tata urana na sapatu
nenek mengambil sisir,tata urana na sisir
nenek mengambil surat,tata urana na surat
nenek mengambil tas,tata urana na tas
nenek mengambil tisu,tata urana na tisu
nenek mengambil wajan,tata urana na kalin
paman belum bangun,mema bot na wotu tei
paman belum belajar,mema bot na balajar tei
paman belum berhasil,mema bot na na roka mana gafin tei
paman belum makan,mema bot na ka tei
paman belum mandi,mema bot na sou tei
paman belum melihatmu,mema bot na kilangar kau tei
paman belum melihatnya,mema bot na kilangar i tei
paman belum memulai,mema bot na mulai tei
paman belum mencintaimu,mema bot na fituin kau tei
paman belum mencintainya,mema bot na fituin i tei
paman belum mendengarnya,mema bot na rongar i tei
paman belum menemukanmu,mema bot na roka kau tei
paman belum menemukannya,mema bot na roka i tei
paman belum menerimamu,mema bot na tarima kau tei
paman belum menerimanya,mema bot na tarima i tei
paman belum mengajar,mema bot na fakuturu tei
paman belum menikah,mema bot na fisa tei
paman belum menyerah,mema bot na na suka tei
paman belum menyesal,mema bot na laminora masingat tei
paman belum merindukanmu,mema bot na marasai kau tei
paman belum merindukannya,mema bot na marasai i tei
paman belum minum,mema bot na kinu tei
paman belum rela,mema bot na iklas tei
paman belum tahu,mema bot na ruk tei
paman belum terima,mema bot na tarima tei
paman belum tidur,mema bot na kifit tei
paman gemar belajar,mema na suka balajar
paman gemar berenang,mema na suka ngangu
paman gemar bermain,mema na suka lenga
paman gemar makan,mema na suka fanga
paman gemar mandi,mema na suka sou
paman gemar menyanyi,mema na suka manyanyi
paman gemar minum,mema na suka minu
paman gemar pergi,mema na suka tagi
paman makan anggur,mema na ka fanga anggur
paman makan apel,mema na ka fanga apel
paman makan ayam,mema na ka fanga manuk
paman makan babi,mema na ka fanga boi
paman makan buah,mema na ka fanga woi
paman makan buaya,mema na ka fanga wai
paman makan daging,mema na ka fanga daging
paman makan dodol,mema na ka fanga dodol
paman makan domba,mema na ka fanga domba 
paman makan gurita,mema na ka fanga kurit
paman makan ikan,mema na ka fanga ikan
paman makan kacang,mema na ka fanga kacang
paman makan kambing,mema na ka fanga bibi
paman makan kedondong,mema na ka fanga kadondong
paman makan kelapa,mema na ka fanga niu
paman makan kue,mema na ka fanga kukis
paman makan mangga,mema na ka fanga ayai
paman makan manggis,mema na ka fanga manggustan
paman makan nanas,mema na ka fanga kainasi
paman makan nasi ,mema na ka fanga fasa
paman makan papeda,mema na ka fanga baititik 
paman makan pisang,mema na ka fanga fudi
paman makan roti,mema na ka fanga barot
paman makan sagu,mema na ka fanga suat
paman makan sapi,mema na ka fanga sapi
paman makan sayur,mema na ka fanga utan
paman makan semangka,mema na ka fanga tumin
paman makan singkong,mema na ka fanga bangala
paman makan sinole,mema na ka fanga sinole
paman makan ubi,mema na ka fanga ui
paman makan ular,mema na ka fanga tekis
paman mengambil air ,mema na ar
paman mengambil baju,mema na ladan
paman mengambil barang,mema na mana sa
paman mengambil batu,mema na watu
paman mengambil buah,mema na woi
paman mengambil buku,mema na buk
paman mengambil cangkir,mema na moak 
paman mengambil celana,mema na kada 
paman mengambil daun,mema na kairu
paman mengambil garam,mema na sira 
paman mengambil garpu,mema na forok
paman mengambil gelas,mema na galas
paman mengambil gitar,mema na juk
paman mengambil handuk,mema na handuk
paman mengambil helm,mema na helem
paman mengambil kayu,mema na kai
paman mengambil kertas,mema na kartas
paman mengambil kiriman ,mema na fingkatu
paman mengambil kue,mema na kukis
paman mengambil linggis,mema na suan 
paman mengambil mangkuk,mema na basi kua
paman mengambil obat ,mema na mofun
paman mengambil pakaian ,mema na ladan
paman mengambil paku,mema na paku
paman mengambil palu,mema na resan
paman mengambil panci,mema na panci
paman mengambil parang,mema na peda
paman mengambil pena,mema na kalam
paman mengambil piring ,mema na bingan
paman mengambil pisau,mema na turit
paman mengambil sekop,mema na skop
paman mengambil sendal,mema na sandal
paman mengambil sendok,mema na sisiru
paman mengambil sepatu ,mema na sapatu
paman mengambil sisir,mema na sisir
paman mengambil surat,mema na surat
paman mengambil tas,mema na tas
paman mengambil tisu,mema na tisu
paman mengambil wajan,mema na kalin
pergi ke desa,tagi bua wanu
pergi ke gereja,tagi bua gareja
pergi ke hutan,Tagi REI Esi
pergi ke kampus,Tagi Bua Kampus
pergi ke kantor,tTgi Bua Kantor
pergi ke kota,Tagi Bua Kota
pergi ke masjid,Tagi Bua Masikit
pergi ke mushola,Tagi Bua Mushalah
pergi ke pantai,Tagi Lau Tansoa
pergi ke pasar,Tagi Bua Pasar
pergi ke salon,Tagi Bua Salon
pergi ke sekolah,Tagi Bua Sikolah
pergi ke sungai,Tagi Bua Arlean
saya belajar aljabar,Aku Balajar Aljabar
saya belajar bahasa,Aku Balajar Minak 
saya belajar beradaptasi,Aku Balajar Nai bisa Ku  Mian Nai Tompat Woun
saya belajar berbagi,Aku Balajar Ku Figuan
saya belajar berempati,Aku Balajar Nai Kufituin Mancia Woun
saya belajar berenang,Aku Balajar Kungangu
saya belajar berjalan,Aku Balajar Ku Tagi
saya belajar berkerja,Aku Balajar Ku karja
saya belajar berkomunikasi,Aku Balajar Kuabi Tura Mancia 
saya belajar berlari,Aku Balajar Ku Falaru
saya belajar bermain ,Aku Balajar Kulenga
saya belajar berpikir,Aku Balajar Ku Fikir
saya belajar bersabar,Aku Balajar Kusabar 
saya belajar bersyukur,Aku Balajar Kusyukur 
saya belajar biologi,Aku Balajar Ilmu Alam
saya belajar catur ,Aku Balajar Catur
saya belajar displin,Aku Balajar Kulenga Tura Waktu ra Tei
saya belajar fisika,Aku Balajar Fisika
saya belajar komputer,Aku Balajar Komputer 
saya belajar mancing,Aku Belajar Subelat
saya belajar matematika ,Aku Balajar Berhitung 
saya belajar memaafkan,Aku Balajar Nai Kugafin 
saya belajar memanah,Aku Balajar Fanak-fanak a
saya belajar memasak,Aku Balajar Firakan
saya belajar membaca,Aku Balajar Baca
saya belajar menari,Aku Balajar Susula
saya belajar mengaji,Aku Balajar Sibur
saya belajar menggambar,Aku Balajar Kugaris-garis 
saya belajar menghitung,Aku Balajar Firekin
saya belajar menjahit,Aku Balajar Firait
saya belajar menulis,Aku Balajar Fitulis
saya belajar menyanyi,Aku Balajar Manyanyi
saya belajar olahraga ,Aku Balajar Olahraga 
saya belajar shalat,Aku Balajar Sumbiyang
saya gemar belajar,Aku Suka Ku balajar
saya gemar berenang,Aku Suka Ku ngangu
saya gemar bermain,Aku Suka Ku lenga
saya gemar makan,Aku Suka Ku kafanga
saya gemar mandi,Aku Suka Ku Sou
saya gemar menyanyi,Aku Suka Ku Manyanyi
saya gemar minum,Aku Suka Kinu
saya gemar pergi,Aku Suka Ku Tagi
saya ingin belajar,Aku Mau Ku Balajar
saya ingin berlari,Aku Mau Ku Falaru
saya ingin berteriak,Aku Nau Ku Gurait
saya ingin cinta,Aku Mau Ku Fituin
saya ingin hidup,Aku Mau Nai Kuliu 
saya ingin kecewa,Aku Mau Nugu laminoa Na Geit
saya ingin lari,Aku Mau Ku Falaru
saya ingin makan,Aku Mau Ku kafanga
saya ingin mandi,Aku Mau Ku Sou
saya ingin marah,Aku Mau Ku Sial
saya ingin mati,Aku Mau Nai Ku Mata
saya ingin melihat,Aku Mau Ku Kilangar
saya ingin membaca,Aku Mau Ku Baca
saya ingin menangis,Aku Mau Nai Ku Tangis
saya ingin mendengar,Aku Mau Ku Rongar
saya ingin mengajar,Aku Mau Ku Fakturuk
saya ingin menulis,Aku Mau Ku Tulis
saya ingin minum,Aku Mau Kinu
saya ingin muntah,Aku Mau Ku Luak
saya ingin rindu,Aku Mau Ku Marasai
saya ingin sakit,Aku Mau Nai Ku Masingat
saya ingin sedih,Aku Mau Ku Masgul
saya ingin tidur,Aku Mau Ku Kifit
saya makan anggur,Aku KaAnggur'a
saya makan apel,Aku KaApel'a
saya makan ayam,Aku KaManuk'a
saya makan babi,Aku KaBoi ra
saya makan buah,Aku KaWoi ra
saya makan buaya,Aku KaWai ra
saya makan daging,Aku KaDaging'a
saya makan dodol,Aku KaDodol'a
saya makan domba,Aku KaDomba ra
saya makan gurita,Aku KaKurit'a
saya makan ikan,Aku KaIkan'a
saya makan kacang,Aku KaKacang'a
saya makan kambing,Aku KaBibi ra
saya makan kedondong,Aku KaKadondong'a
saya makan kelapa,Aku KaNiu ra
saya makan kue,"Aku KaKukis""a"
saya makan mangga,Aku KaAyai ra
saya makan manggis,Aku KaManggustan'a
saya makan nanas,Aku KaKainasi ra
saya makan nasi ,Aku KaFasa Rakan-Rakan'a
saya makan papeda,Aku KaBaitititik'a
saya makan pisang,Aku KaFudi ra
saya makan roti,Aku KaBaroat'a
saya makan sagu,Aku KaSuat'a
saya makan sapi,Aku KaSapi ra
saya makan sayur,Aku KaUtan'a
saya makan semangka,Aku KaTumin'a
saya makan singkong,Aku KaBanggala ra
saya makan sinole,Aku KaSinole  ra
saya makan ubi,Aku KaUi ra
saya makan ular,Aku KaTekis'a
saya mengambil air ,Aku Ka  ar
saya mengambil baju,Aku Ka ladan'
saya mengambil barang,Aku Ka manaa Sa
saya mengambil batu,Aku Ka watu 
saya mengambil buah,Aku Ka woi ra
saya mengambil buku,Aku Ka buk
saya mengambil cangkir,Aku Ka moak
saya mengambil celana,Aku Ka kada 
saya mengambil daun,Aku Ka kairu 
saya mengambil garam,Aku Ka sira 
saya mengambil garpu,Aku Ka forok
saya mengambil gelas,Aku Ka galas
saya mengambil gitar,Aku Ka juk
saya mengambil handuk,Aku Ka handuk
saya mengambil helm,Aku Ka Helem
saya mengambil kayu,Aku Ka kai 
saya mengambil kertas,Aku Ka kartas
saya mengambil kiriman ,Aku Ka Fingkatu 
saya mengambil kue,Aku Ka kukis
saya mengambil linggis,Aku Ka suan
saya mengambil mangkuk,Aku Ka Basi Kua 
saya mengambil obat ,Aku Ka mofun
saya mengambil pakaian ,Aku Ka Pakiang
saya mengambil paku,Aku Ka Paku 
saya mengambil palu,Aku Ka Resan
saya mengambil panci,Aku Ka Panci
saya mengambil parang,Aku Ka Peda
saya mengambil pena,Aku Ka Kalam
saya mengambil piring ,Aku Ka Bingan
saya mengambil pisau,Aku Ka Turik
saya mengambil sekop,Aku Ka Skop
saya mengambil sendal,Aku Ka Sandal
saya mengambil sendok,Aku Ka Sisiru
saya mengambil sepatu ,Aku Ka capatu
saya mengambil sisir,Aku Ka Sisir
saya mengambil surat,Aku Ka Surat
saya mengambil tas,Aku Ka Tas
saya mengambil tisu,Aku Ka Tisu
saya mengambil wajan,Aku Ka kaling
suka buah apel,Suka Apel a
suka buah durian,Suka Duran a
suka buah jambu,Suka Jambu ra
suka buah kelapa,Suka Niu ra
suka buah leci,Suka Leci ra
suka buah mangga,Suka Ayai ra
suka buah manggis,Suka Manggustan a
suka buah pepaya,Suka Fudikastela ra
suka buah rambutan,Suka Rambutan a
suka buah semangka,Suka Tumin a
suka buah sirsak,Suka Duran Walanda ra
abang tidak gemar belajar,Kaka Nasuka Balajar Tei
abang tidak gemar berenang,Kaka Nasuka Nangangu Tei
abang tidak gemar bermain,Kaka Nasuka Nalenga Tei
abang tidak gemar makan,Kaka Nasuka Fanga Tei
abang tidak gemar mandi,Kaka Nasuka Nasou Tei
abang tidak gemar menyanyi,Kaka Nasuka Namanyanyi Tei
abang tidak gemar minum,Kaka Nasuka Ninu Tei
abang tidak gemar pergi,Kaka Nasuka Natagi tei
abang tidak makan anggur,Kaka Naka Anggur Tei
abang tidak makan apel,Kaka Naka Apel Tei
abang tidak makan ayam,Kaka Naka  Manuk Tei
abang tidak makan babi,Kaka Naka  Boi Tei
abang tidak makan buah,Kaka Naka Woi Tei
abang tidak makan buaya,Kaka Naka Wai Tei
abang tidak makan daging,Kaka Naka  Daging Tei
abang tidak makan dodol,Kaka Naka Dodol Tei
abang tidak makan domba,Kaka Naka Domba  Tei
abang tidak makan gurita,Kaka Naka Kurit Tei
abang tidak makan ikan,Kaka Naka  Ikan Tei
abang tidak makan kacang,Kaka Naka  Kacang Tei
abang tidak makan kambing,Kaka Naka Bibi Tei
abang tidak makan kedondong,Kaka Naka Kadondong Tei
abang tidak makan kelapa,Kaka Naka Niu Tei
abang tidak makan kue,Kaka Naka Kukis Tei
abang tidak makan mangga,Kaka Naka Ayai Tei
abang tidak makan manggis,Kaka Naka Manggustan Tei
abang tidak makan nanas,Kaka Naka Kainasi Tei
abang tidak makan nasi ,Kaka Naka Fasa Rakan-Rakan Tei
abang tidak makan papeda,Kaka Naka Baitititik  Tei
abang tidak makan pisang,Kaka  Naka Fudi Tei
abang tidak makan roti,Kaka Naka Baroat Tei
abang tidak makan sagu,Kaka Naka Suat Tei
abang tidak makan sapi,Kaka Naka Sapi Tei
abang tidak makan sayur,Kaka Kaka  Utan Tei
abang tidak makan semangka,Kaka Kaka Tumin Tei
abang tidak makan singkong,Kaka Naka Banggala Tei
abang tidak makan sinole,Kaka  Naka Sinole Tei
abang tidak makan ubi,Kaka Kaka Ui Tei 
abang tidak makan ular,Kaka Naka Tekis Tei
abang tidak mengambil air ,Kaka Na Ar Tei
abang tidak mengambil baju,Kaka Na Ladan Tei
abang tidak mengambil barang,Kaka Na Manaa Sa Tei
abang tidak mengambil batu,Kaka Na Watu Tei
abang tidak mengambil buah,Kaka Na Woi Tei
abang tidak mengambil buku,Kaka Na Buk Tei
abang tidak mengambil cangkir,Kaka Na Moak  Tei
abang tidak mengambil celana,Kaka Na Kada  Tei
abang tidak mengambil daun,Kaka Na Kairu Tei
abang tidak mengambil garam,Kaka Na Sira  Tei
abang tidak mengambil garpu,Kaka Na Forok Tei
abang tidak mengambil gelas,Kaka Na Galas Tei
abang tidak mengambil gitar,Kaka Na Juk Tei
abang tidak mengambil handuk,Kaka Na Handuk Tei
abang tidak mengambil helm,Kaka Na Helem Tei
abang tidak mengambil kayu,Kaka Na Kai Tei
abang tidak mengambil kertas,Kaka Na Kartas Tei
abang tidak mengambil kiriman ,Kaka Na Fingkatu Tei
abang tidak mengambil kue,Kaka Na Kukis Tei
abang tidak mengambil linggis,Kaka Na Suan  Tei
abang tidak mengambil mangkuk,Kaka Na Basi Kua Tei
abang tidak mengambil obat ,Kaka Na Mofun Tei
abang tidak mengambil pakaian ,Kaka Na Pakiang Tei
abang tidak mengambil paku,Kaka Na Paku Tei
abang tidak mengambil palu,Kaka Na Resan Tei
abang tidak mengambil panci,Kaka Na Panci Tei
abang tidak mengambil parang,Kaka Na Peda Tei
abang tidak mengambil pena,Kaka Na Kalam Tei
abang tidak mengambil piring ,Kaka Na Bingan Tei
abang tidak mengambil pisau,Kaka Na Turi Tei
abang tidak mengambil sekop,Kaka Na Skop Tei
abang tidak mengambil sendal,Kaka Na Sandal Tei
abang tidak mengambil sendok,Kaka Na Sisiru Tei
abang tidak mengambil sepatu ,Kaka Na Capatu Tei
abang tidak mengambil sisir,Kaka Na Sisir Tei
abang tidak mengambil surat,Kaka Na Surat Tei
abang tidak mengambil tas,Kaka Na Tas Tei
abang tidak mengambil tisu,Kaka Na Tisu Tei
abang tidak mengambil wajan,Kaka Na Kaling Tei
adik tidak gemar belajar,Toi Nasuka Nabalajar Tei
adik tidak gemar berenang,Toi  Nasuka Nangangu Tei
adik tidak gemar bermain,Toi Nasuka Nalenga Tei
adik tidak gemar makan,Toi Nasuka Nakafanga Tei
adik tidak gemar mandi,Toi Nasuka Nasou Tei
adik tidak gemar menyanyi,toi na suka manyanyi tei
adik tidak gemar minum,Toi Nasuka Ninu Tei
adik tidak gemar pergi,Toi Nasuka Natagi Tei
adik tidak makan anggur,Toi Naka Anggur Tei
adik tidak makan apel,Toi Naka Apel Tei
adik tidak makan ayam,Toi Naka  Manuk Tei
adik tidak makan babi,Toi Naka Boi Tei
adik tidak makan buah,Toi Naka Woi Tei
adik tidak makan buaya,Toi Naka Wai Tei
adik tidak makan daging,Toi Naka Daging Tei
adik tidak makan dodol,Toi Naka  Dodol Tei
adik tidak makan domba,Toi Naka Domba  Tei
adik tidak makan gurita,Toi Naka Kurit Tei
adik tidak makan ikan,Toi Naka Ikan Tei
adik tidak makan kacang,Toi Naka  Kacang Tei
adik tidak makan kambing,Toi Naka Bibi Tei
adik tidak makan kedondong,Toi Naka Kadondong Tei
adik tidak makan kelapa,Toi Naka  Niu Tei
adik tidak makan kue,Toi Naka Kukis Tei
adik tidak makan mangga,Toi Naka Ayai Tei
adik tidak makan manggis,Toi Naka Manggustan Tei
adik tidak makan nanas,Toi Naka Kainasi Tei
adik tidak makan nasi ,Toi Naka Fasa Rakan-rakan Tei
adik tidak makan papeda,Toi Naka Baitititik  Tei
adik tidak makan pisang,Tpi Naka Fudi Tei
adik tidak makan roti,Toi Naka Baroat Tei
adik tidak makan sagu,Toi Naka Suat Tei
adik tidak makan sapi,Toi Naka  Sapi Tei
adik tidak makan sayur,Toi Naka Utan Tei
adik tidak makan semangka,Toi Naka Tumin Tei
adik tidak makan singkong,Toi Naka  Banggala Tei
adik tidak makan sinole,Toi Naka Sinole Tei
adik tidak makan ubi,Toi Naka Ui Tei
adik tidak makan ular,Toi Naka Tekis Tei
adik tidak mengambil air ,Toi Na Ar Tei
adik tidak mengambil baju,Toi Na Ladan Tei
adik tidak mengambil barang,Toi Na Manaa Sa Tei
adik tidak mengambil batu,Toi Na Watu Tei
